Food_Name,GI,GL,Serving_Size,Carbs_per_Serve,Category
"100% Whole Grain™ bread (Natural Ovens, USA) #",51,,,,15
"25 g Xylitol C (Danisco Sweeteners, UK) #",8,,,,2.5
25 g xylitol #,7,,,,2.5
45% oat bran and 50% wheat flour bread #,51,,,,15
50% oat bran and 50% wheat flour bread #,45,,,,15
"50/50 Feta protein bar, chocolate biscuit with orange flavor, organic (Eatwalk Hellas, Greece) #",5,,,,25
75% cracked wheat kernels #,49,,,,15
"Acacia aneura (mulga seed) roasted, wet ground to paste #",8,,,,35
Acacia honey (provided by German beekeeper association) #,53,,,,5
"Acorns (Quercus emoryi), stewed with venison #",16,,,,35
"Adzuki beans (Vigna angularis var. angularis), pre-soaked at 4o°C for 12 h, steamed for 70 min #",29,,,,15
"Adzuki beans (Vigna angularis var. angularis), pre-soaked at 4°C for 12 h, steamed for 40 min #",21,,,,15
AF-BRAVO fibre powder( prepared with water),19,,,,2.7
AF-FAB fibre powder (prepared with water),27,,,,2.2
AF-RISE fibre powder (prepared with water),20,,,,0.7
AF-WITTY fibre powder (prepared with water),16,,,,2.9
Aged Care Complete Nutritional Milk Powder,26,,,40.0,20.4
All-Bran Fruit 'n Oats™,41,,,,20
All-Bran Soy 'n Fiber™,33,,,,20
"All-Bran™ (Kellogg's Inc., Canada) #",51,,,,20
"All-Bran™ (Kellogg's Inc., South Korea) #",51,,,,20
"All-Bran™ (Kellogg's, Battle Creek, MI, USA) #",38,,,,20
"All-Bran™, high-fiber, extruded wheat bran cereal (Kellogg's Inc., Etobicoke, Canada) #",51,,,,20
Almond Chocolate,24,,,,25
"Apple and blackcurrant juice, no added sugar",45,,,,15
"Apple and cherry juice, pure, unsweetened",43,,,,15
"Apple and mandarin juice, pure, unsweetened",47,,,,15
"Apple and mango juice, pure, unsweetened",47,,,,15
Apple baby food,46,,,,10
Apple baby food #,28,,,,10
Apple baby food #,54,,,,10
Apple baby food #,54,,,,10
"Apple Cinnamon bar, Fruit & Yogurt Apple Cinnamon Chewy Bars (Soy), President's Choice® Blue Menu™",34,,,,25
"Apple juice, Granny Smith, unsweetened",44,,,,15
"Apple juice, pure, clear, unsweetened",44,,,,15
"Apple juice, pure, cloudy, unsweetened",37,,,,15
"Apple juice, unsweetened #",41,,,,20
"Apple juice, unsweetened (Allens, Toronto, Canada) #",42,,,,20
"Apple juice, unsweetened, reconstituted",39,,,,15
"Apple, Braeburn #",32,,,,15
"Apple, dried",29,,,,15
"Apple, Golab, raw #",39,,,,15
"Apple, Golden Delicious #",39,,,,15
"Apple, Green, raw #",41,,,,15
"Apple, NS #",28,,,,15
"Apple, NS #",41,,,,15
"Apple, NS #",34,,,,15
"Apple, NS #",40,,,,15
"Apple, NS #",45,,,,15
"Apple, pear and cinnamon fruit puree, homemade, puree consistency",29,,,,10
"Apple, Pear and Cinnamon fruit puree, Rafferty’s Garden, for ages 4 – 6 months, commercial",44,,,,10
"Apple, pineapple and passionfruit juice, unsweetened",48,,,,15
"Apples, canned in juice",42,,,,15
"Apples, dried (Malus pumila Mill.)",43,,,,15
"Apples, raw",44,,,,15
"Apricot & apple fruit strips, gluten-free",29,,,,25
"Apricot & Yoghurt Healtheries Simple Bar, wheat and gluten-free",40,,,,25
"Apricot 100% Fruit Spread, Cottees™",50,,,,15
"Apricot 100% Pure Fruit spread, no added sugar",43,,,,15
Apricot and Almond bar,34,,,,25
"Apricot fruit spread, reduced sugar",55,,,,15
Apricot Halves canned in fruit juice,51,,,,15
"Apricot Temptation fruit cookies, 97% fat-free",47,,,,20
"Apricots, dried #",30,,,,15
"Apricots, dried (Wasco foods, Montreal, Canada) #",33,,,,15
"Apricots, dried, ready to eat #",31,,,,15
"Apricots, dried, ready to eat, bite size",32,,,,15
"Apricots, NS #",50,,,,15
"Apricots, raw, NS",34,,,,15
"Apricots, raw, NS",42,,,,15
Arabinose Sugar (95% sucrose + 5% L-arabinose),52,,,,5
"Arrowroot (Maranta Arundinaceae) cookies, containing cinnamon (Cinnamomum verum) and porang (Amorphophallus oncophyllus) glucomannan, My Cookies® #",48,,,,20
AU KingCare Golden Age Nutritional Milk powder,21,,,,20.4
"Aussie Bodies Trim Protein Shake, Chocolate flavored",39,,,,20
"Aussie Bodies Trim Protein Shake, French Vanilla flavored",41,,,,20
Avani SA Formula,20,,,,17.4
Baked Beans in Barbecue sauce,47,,,,15
Baked Beans in Cheesy Tomato sauce,44,,,,15
Baked Beans in Ham sauce,53,,,,15
"Baked Beans in Mild Curry sauce (HJ Heinz, Australia) #",49,,,,15
Baked Beans in Sweet Chilli sauce,46,,,,15
Baked Beans in Tomato sauce,40,,,,15
"Baked Beans, canned #",40,,,,15
"Baked Beans, Heinz Vegetarian baked haricot beans (HJ Heinz Company, Dandenong, VIC, Australia) #",40,,,,15
Banana (Musa paradisiaca) #,44,,,,15
"Banana (Musa spp.), anamalu-Gros Michel AAA variety, ripe, raw #",48,,,,15
"Banana (Musa spp.), embul-Mysore AAB variety, ripe, raw #",43,,,,15
"Banana (Musa spp.), Kolikuttu-Silk AAB variety, ripe, raw #",43,,,,15
"Banana (Musa spp.), seeni kesel-Pisang Awak ABB variety, ripe, raw #",49,,,,15
Banana Chapa kola variety (Musa sp.) #,30,,,,15
"Banana, honey and malt flavored milk",31,,,,20
"Banana, lady finger",49,,,,15
"Banana, lady finger",53,,,,15
"Banana, NS #",35,,,,15
"Banana, NS #",41,,,,15
"Banana, NS #",47,,,,15
"Banana, NS #",49,,,,15
"Banana, over-ripe (yellow flecked with brown) #",48,,,,15
"Banana, over-ripe (yellow with 1-2 mm brown spots) #",53,,,,15
"Banana, raw",47,,,,15
"Banana, ripe (all yellow) #",51,,,,15
"Banana, slightly under-ripe (yellow with green sections) #",42,,,,15
"Banana, slightly under-ripe (yellow with green tips) #",41,,,,15
"Banana, under-ripe (yellow with some green skin) #",31,,,,15
Barley #,22,,,,45
"Barley bread, 70% high-amylose barley flour and 30% white wheat flour, baked 20 h at low temperature of 120oC10 #",50,,,,15
"Barley flour porridge, made from milled dehulled barley kernels (flour:water = 1:3) boiled for 2.5 min #",46,,,,20
"Barley flour porridge, made from milled high-amylose (covered) barley kernels (flour:water = 1:3), boiled for 2.5 min #",39,,,,20
"Barley kernel bread, 50% barley kernels and 50% barley flour #",44,,,,15
"Barley kernel bread, 50% kibbled barley and 50% wheat flour #",49,,,,15
"Barley kernels, high-amylose (hull-less) boiled in water for 25 min (kernel:water = 1:2.5) #",21,,,,45
"Barley kernels, waxy (hull-less), boiled in water for 25 min (kernel:water = 1:2.5) #",22,,,,45
"Barley tortilla, made with bran flour (high ß-glucan/low insoluble dietary fiber) and water, frozen and reheated #",23,,,,15
"Barley tortilla, made with bran flour (medium ß-glucan/high insoluble dietary fiber) and water, frozen and reheated #",41,,,,15
